"","Package","LibPath","Version","Priority","Built"
"181","SparseM","C:/R/Library","1.77",NA,"3.4.0"
"182","stringi","C:/R/Library","1.1.6",NA,"3.4.2"
"183","stringr","C:/R/Library","1.2.0",NA,"3.4.0"
"184","styler","C:/R/Library","1.0.0",NA,"3.4.3"
"185","survey","C:/R/Library","3.33",NA,"3.4.3"
"186","tcltk2","C:/R/Library","1.2-11",NA,"3.4.0"
"187","testthat","C:/R/Library","2.0.0",NA,"3.4.3"
"188","TH.data","C:/R/Library","1.0-8",NA,"3.4.0"
"189","tibble","C:/R/Library","1.4.2",NA,"3.4.3"
"190","tidyr","C:/R/Library","0.7.2",NA,"3.4.2"
"191","tidyselect","C:/R/Library","0.2.3",NA,"3.4.2"
"192","tidyverse","C:/R/Library","1.2.1",NA,"3.4.2"
"193","tseries","C:/R/Library","0.10-42",NA,"3.4.1"
"194","TTR","C:/R/Library","0.23-3",NA,"3.4.3"
"195","usethis","C:/R/Library","1.2.0",NA,"3.4.3"
"196","utf8","C:/R/Library","1.1.3",NA,"3.4.3"
"197","uuid","C:/R/Library","0.1-2",NA,"3.4.1"
"198","viridis","C:/R/Library","0.4.1",NA,"3.4.3"
"199","viridisLite","C:/R/Library","0.2.0",NA,"3.4.0"
"200","visNetwork","C:/R/Library","2.0.3",NA,"3.4.3"
"201","whisker","C:/R/Library","0.3-2",NA,"3.4.2"
"202","withr","C:/R/Library","2.1.1",NA,"3.4.3"
"203","XML","C:/R/Library","3.98-1.9",NA,"3.4.0"
"204","xml2","C:/R/Library","1.2.0",NA,"3.4.3"
"205","xtable","C:/R/Library","1.8-2",NA,"3.4.0"
"206","xts","C:/R/Library","0.10-1",NA,"3.4.3"
"207","yaml","C:/R/Library","2.1.16",NA,"3.4.3"
"208","zip","C:/R/Library","1.0.0",NA,"3.4.3"
"209","zoo","C:/R/Library","1.8-1",NA,"3.4.3"
"210","base","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"211","boot","C:/Program Files/R/R-3.4.3/library","1.3-20","recommended","3.4.3"
"212","class","C:/Program Files/R/R-3.4.3/library","7.3-14","recommended","3.4.3"
"213","cluster","C:/Program Files/R/R-3.4.3/library","2.0.6","recommended","3.4.3"
"214","codetools","C:/Program Files/R/R-3.4.3/library","0.2-15","recommended","3.4.3"
"215","compiler","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"216","datasets","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"217","foreign","C:/Program Files/R/R-3.4.3/library","0.8-69","recommended","3.4.3"
"218","graphics","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"219","grDevices","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"220","grid","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"221","KernSmooth","C:/Program Files/R/R-3.4.3/library","2.23-15","recommended","3.4.3"
"222","lattice","C:/Program Files/R/R-3.4.3/library","0.20-35","recommended","3.4.3"
"223","MASS","C:/Program Files/R/R-3.4.3/library","7.3-47","recommended","3.4.3"
"224","Matrix","C:/Program Files/R/R-3.4.3/library","1.2-12","recommended","3.4.3"
"225","methods","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"226","mgcv","C:/Program Files/R/R-3.4.3/library","1.8-22","recommended","3.4.3"
"227","nlme","C:/Program Files/R/R-3.4.3/library","3.1-131","recommended","3.4.3"
"228","nnet","C:/Program Files/R/R-3.4.3/library","7.3-12","recommended","3.4.3"
"229","parallel","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"230","rpart","C:/Program Files/R/R-3.4.3/library","4.1-11","recommended","3.4.3"
"231","spatial","C:/Program Files/R/R-3.4.3/library","7.3-11","recommended","3.4.3"
"232","splines","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"233","stats","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"234","stats4","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"235","survival","C:/Program Files/R/R-3.4.3/library","2.41-3","recommended","3.4.3"
"236","tcltk","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"237","tools","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
"238","translations","C:/Program Files/R/R-3.4.3/library","3.4.3",NA,"3.4.3"
"239","utils","C:/Program Files/R/R-3.4.3/library","3.4.3","base","3.4.3"
